Hash,Timing in µs (1000ms),BigCrush tests passed
bbs,70.36,4
city,93.60,155
fast,31.89,5
hybridtaus,42.83,2
iqint1,19.98,48
iqint2,86.78,116
iqint2.x,34.75,106
iqint2.y,32.53,113
iqint2.z,32.91,116
iqint3,20.81,76
jkiss32,20.01,5
lcg,9.81,5
murmur3,52.04,130
pcg2d,50.04,125
pcg3d,64.92,159
pcg3d.x,41.66,146
pcg3d.y,49.64,154
pcg3d.z,53.71,154
pcg3d16,50.65,121
pcg4d,86.52,160
pseudo,26.55,1
Rand3DPCG32,67.08,119
Rand4DPCG32,86.75,119
ranlim32,54.47,61
sca08,27.95,126
superfast,42.04,68
tea2,40.88,10
tea3,60.49,25
tea4,80.55,63
tea5,99.37,119
tea6,123.87,158
wang,23.67,16
xorshift32,15.25,4
xxhash32,43.33,149
